original,ex_predicted
Ticketless passenger stabs ticket examiner on train in Delhi,A train ticket examiner (TTE) was allegedly stabbed by three unidentified men who were asked to deboard the train as they were travelling without tickets in the reserved compartment.
Protestors pelt stones at police outside Ghaziabad Haj House,"The protesters, led by members of the district Congress committee, on Monday gathered outside the Ala Hazrat Haj House in the city and demanded opening it for Haj pilgrims immediately."
Saudi using Canadian equipment against citizens: Reports,The Canadian government is investigating reports that Saudi Arabia is using armoured vehicles made in Canada against its own civilians ?
"I like to get customised gifts on my birthday, says Taapsee","?I would look forward to wearing that special birthday dress to school, and rack my brain thinking what special [item] I could distribute as return gift to my classmates."
"10,000 users affected in malware attack on MTNL broadband","The issue which is now under control as per the company, affected over 10,000 users and disrupted the broadband services for quite some time. """
Two accused in Dadri mob lynching case get bail,"Vishal Rana (21) and Hari Om (26), accused in the 2015 lynching of Mohammad Ikhlaq in Bisada for allegedly slaughtering a cow, was granted bail by the Allahabad high court on Monday.Vishal's father Sanjay Rana (47), a local BJP leader, said his son ?got justice?"
China building high-speed rail tunnel below Great Wall,"Now, people are holding their breath on the completion of the tunnel while ensuring that the Great Wall is not damaged in the process, the Global Times reported.Luo Duhao, chief engineer of the Beijing-Zhangjiakou High-Speed Railway Line, being built by China Railway Number 5 Engineering Group Co said the firm will employ ?precision micro-blasting?"
Trump crafted son's statement on Russian meeting: Report,"Donald Trump personally dictated the press statement issued in the name of his eldest son Donald Jr that misleadingly downplayed the significance of a 2016 meeting with a Kremlin-linked Russian lawyer, a new report alleged on Monday night.According to the Washington Post, Trump personally intervened to prevent senior White House advisers from issuing a full and truthful account of the meeting on 9 June 2016 in which Donald Trump Jr, the president's son-in-law Jared Kushner, and then presidential campaign manager Paul Manafort came face-to-face with four Russians."
Half of all Australian university students harassed: Report,"Here's a submission from the report itself that claims this issue has been overlooked:A woman who was sexually assaulted on numerous occasions by her intimate partner, a fellow university student, was told the university had ?no power to do anything, because none of it occurred on-campus?.She felt that the university should have taken action, because she was aware of the perpetrator sexually assaulting at least two other women at her university."
Gujarat Congress MLAs to get Gujarati chef in Bengaluru,Gujarat Congress MLAs lodged in a Karnataka resort to deter defections from their ranks ahead of next week's Rajya Sabha polls say the south Indian food being served to them is a big sore point amid their four-star comfort.
Arvind Panagariya quits as Niti Aayog Vice Chairman,"?He will serve the think tank till August-end.According to government sources, Modi wanted him to stay but relented when Panagariya told him that his wife too wants to be with their children in the US.Panagariya said he informed the Prime Minister, who is the ex-officio chairman of Niti Aayog, about his decision about two months ago after Columbia University refused to make an exemption for him and extend his two-year, public-service leave."
Censor Board orders 48 cuts in 'Babumoshai Bandookbaaz',"While there is no update on that front, his order of 48 cuts for Babumoshai Bandookbaaz have come as a shock to the makers of the film.Babumoshai Bandookbaaz, which stars Nawazuddin Siddiqui and Bidita Bag in the lead roles and is directed by Kushan Nandy, has been embroiled in controversies for quite some time now."
Pak extends house arrest of JuD chief Saeed by two months,"His detention had been extended for three more months in April.On January 31, Saeed and his four close aides -  Abdullah Ubaid, Malik Zafar Iqbal, Abdul Rehman Abid and Qazi Kashif Hussain) -- were detained by the Punjab government for 90 days under the Anti-Terrorism Act 1997.This time Saeed's house arrest has been extended under the Punjab Maintenance of Public Order.In a notification issued on July 28, the Punjab Government Home Department said on the recommendation of the federal interior ministry the detention of the activist -- Saeed -- has been extended for another 60 days."
Qatar complaints to WTO against Saudi-led trade boycott,"Qatar filed a wide-ranging legal complaint at the World Trade Organization on Monday to challenge a trade boycott by Saudi Arabia, Bahrain and United Arab Emirates, the director of Qatar's WTO office Ali Alwaleed al-Thani told Reuters.By formally ?requesting consultations?"
Tata Motors CEO earned a salary of ?22.5 crore,"Ravi Pisharody, erstwhile Executive Director and former head of the companys commercial vehicles (CV) business unit who had quit the company last month, saw his salary drop by 17 per cent to Rs 2.3 crore in the last fiscal."
Nothing wrong in not reciting Vande Mataram: Athawale,Union minister Ramdas Athawale has said there was nothing wrong if one didn?t recite the national song ?Vande Mataram.
